Author	Text	Location	Datetime
alejandroq04	RT @VoluntadPopular: .@jguaido "Vemos como se señala de nuevo al régimen en casos de corrupción con el caso de los papeles de Panamá. Este…	Venezuela	17:07:10 04/04/2016
AllTheNewsIsNow	#Volksfreund Kommentar: Oh, wie schön war Panama: Diese Enthüllungen machen sprachlos. Nicht etwa wegen der st... https://t.co/6Oz7765Rka	Jupiter	17:07:13 04/04/2016
Besmaettiss	RT @Le_Gost: Normalement il devrait y avoir des éditions spéciales pr l'affaire "Panama Papers", ça en parle vite fait comme si c'était un…	None	17:07:24 04/04/2016
AhmedRaaes2012	@MurtazaGeoNews Panama leaks py bhi ap kch bolain na ... PTI py ap khob hath saad krty ab kya hua?	None	17:09:05 04/04/2016
elpme10	RT @adilmauro: Il caso #PanamaPapers spiegato bene da Rondolino, la prestigiosa firma de @unitaonline.   Che pena. https://t.co/88RmtWEWGC	None	17:10:39 04/04/2016
yvanbellanger	RT @lemondelive: "#PanamaPapers" : Le parquet financier français ouvre une enquête pour « blanchiment de fraudes fiscales aggravées » https…	nice	17:06:39 04/04/2016
Emmanuel69DFMMS	RT @_ju1_: REITERO. Listado de fundaciones que pagan la investigación de #panamapapers https://t.co/gUXTCEpTJV Huele. https://t.co/Ri2BpwwE…	Ciudadano del mundo	17:10:35 04/04/2016
ToaFraser	#Iceland Premier better watch out. This hot dog stand is going off just a block away from protests. #panamapapers https://t.co/nGXMBTHgjx	Auckland	17:06:57 04/04/2016
ebendog	RT @ElliotDugdale: Not one mention of fact David Cameron's father is implicated in #panamaleaks on BBC or Sky News. His family made fortune…	the middle	17:06:55 04/04/2016
maliktariqawa16	Lala #PanamaLeaks	None	17:07:28 04/04/2016
relivingthe80s	RT @MarkJDoran: .@medialens 9,670 UK Companies named in the Panama Papers. The @Independent's choice of photo? The President of Syria...	England, United Kingdom	17:08:14 04/04/2016
_seamoslibres	RT @apablomendoza: Entendes ahora porque lo defiende al flaco de ojos celestes cuando en realidad debería investigarlo #panamapapers https:…	Buenos Aires, Argentina	17:08:47 04/04/2016
kathryn_daye	RT @Independent: The Panama Papers expose the gulf between what the Government says and does about tax laws https://t.co/tlWXFld9aa https:/…	Scarborough, England	17:09:57 04/04/2016
Laureano_tlSUR	Teachers dedicate their chants to #Macri: "The public schools are not #Panama" #panamapapers @telesurenglish https://t.co/NH1RXxo4m8	Buenos Aires	16:12:22 04/04/2016
valeriekowal	RT @OnZeLeft: #PanamaPapers Demain, Le Monde citera un "grand parti national français" impliqué. P. Cohen sourit "Parti NATIONAL"😄 https://…	None	16:12:56 04/04/2016
ranamimran66	RT @FarhanVirkPTI: #چورمچائےشور   In a state of shock, Pervez Rasheed vows to launch a Bullet Train after Panama Leaks https://t.co/WRMSLQp…	None	16:13:36 04/04/2016
CienSentido	RT @jrisco: Amé que Aristegui en #PanamaPapers tenga su unidad de medida...   Dice: "Hinojosa Cantú escondió lo equivalente a 14 Casas Blan…	Mexico	16:14:15 04/04/2016
Schmiddl_HH	RT @NeinQuarterly: No, they haven't been hiding their money. They've been hiding ours. By calling it theirs. #panamapapers	Hamburg	16:16:11 04/04/2016
1984Chains	@NachoOrtega Y no olvidemos el Perdonazo a Johnson's de excelencia y ex dueño sale en #PanamaPapers	Chile	16:16:14 04/04/2016
abidhussainsha2	RT @AwanZada4: #PanamaPapersVindicatePAT https://t.co/LURHk9nzk7	None	16:16:36 04/04/2016
newsoneplace	(International Business Times):#Panama #Papers: Mossack Fonseca not responsible for any 'illegitimate.. https://t.co/UPQCsnPIJH	None	16:16:45 04/04/2016
CyberPlayGround	RT @the_intercept: The Panama Papers show us that just because certain behavior is “legal” does not prove that it is ethical or just. https…	everywhere	16:14:02 04/04/2016
peterjukes	RT @OCCRP: NEW: We just revealed the Aliyevs' secret mining empire in #Azerbaijan. https://t.co/Vhec0PuvZB #panamapapers https://t.co/YKFyK…	London	16:17:00 04/04/2016
aawan00	RT @rawfeel: #PanamaLeaks  #کھودا_پاناما_نکلا_چوہا  #panamapapers  @arsched &amp; company 👇 Current situation 👇😂😂 https://t.co/DFxCUS8CKx	Jeddah, Makkah Al Mukarrama	15:18:44 04/04/2016
lafigliatweets	Totally sucked into @torontostar coverage of the #panamapapers leak. Goodbye productivity...  #PanamaLeaks #journalism	Toronto	15:21:17 04/04/2016
n3xu5a	RT @OCCRP: We have a new #panamapapers story coming within the next hour or so. And we're working on around 30 (yep, thirty) more. #StayTun…	✴ earth hurtling through space	15:22:34 04/04/2016
diegohala01515	RT @ParleyGlobal: Para Nuestro Amigos de ·USA - ECUADOR- PANAMÁ- COLOMBIA - REPÚBLICA  DOMINICANA -MÉXICO Puedes Afiliarse a Través del Wha…	None	15:22:39 04/04/2016
cefuentesh	@galvanochoa Ud confunde todo, el sr Hinojosa estaba asesorando a familiares en temas donde es ducho #panamapapers 😂 https://t.co/kluEVfHhT7	None	15:19:08 04/04/2016
jotahurtado	RT @peruanito_ok: Denucia: Financista de @KeikoFujimori  en lista de #panamapapers. Ya lo sabe el mundo, y Panorama? peritaje?   https://t.…	Lima 	15:19:03 04/04/2016
lectoranegra	RT @PhilAMellows: La diferencia entre los papeles de Panamá y los casos de Errejón o Monedero es que, en el primer caso, el fraude todavía…	el mundo.	15:21:06 04/04/2016
indiamei	RT @ROOSTERGNN: Los 74 líderes mundiales de “Los Papeles de #Panamá” @elconfidencial https://t.co/zbOK1c6Mv9 https://t.co/Ih0taKrjjN	india t amo 	15:22:20 04/04/2016
Haiyay007	RT @alykhansatchu: #panamapapers is one big commissions Fest.	None	15:18:50 04/04/2016
rizwana161	RT @Shahidmasooddr: Shame on those who looted Pakistan&amp;took money abroad.No more lollypops.Just accountability NOW!  #panamapapers https://…	None	15:20:21 04/04/2016
ChristianChial	RT @cronicaweb: Me desperté angustiadísimo por la posibilidad de figurar en los #PanamaPapers pero luego me acordé que soy POBRE y se me pa…	Panamá	15:22:44 04/04/2016
asimali9207	RT @Ajan60003: #PanamaExposeNawaz https://t.co/SS57kZqVrR	Pakistan/ Egypt	15:54:47 04/04/2016
tomgreen1959	RT @ezridersos: Trump Pals Around with George Soros https://t.co/4kTNmIlFv6 #WakeUpAmerica  #Trump2016  #PanamaLeaks	None	15:57:54 04/04/2016
sarahlienne	Le choc des "Panama papers" ébranle la planète, le Kremlin en première ligne https://t.co/nlW2GmD0RO via @yahooactufr	None	16:00:03 04/04/2016
angelaquintal	RT @MandGAfrica: Who is who on the list? Notable Africans in the leaked 'Panama Papers'  https://t.co/4CUx5wwlJ0 via @MandGAfrica	Johannesburg	16:00:02 04/04/2016
Williams_151	Los 30 nombres más sorprendentes involucrados en el escándalo de los Papeles de Panamá: https://t.co/W8eMK8TZfO vía @ElNacionalWeb	None	16:01:37 04/04/2016
o_franco_aleman	@tagesschau könnte man so sagen, Herr Gabriel. und sehr viele denken das.  #panamapapers #panamaleaks	None	15:54:43 04/04/2016
DK_Matai	RT @DKMatai: Why are the excellent #PanamaLeaks not revealing any USA links? UK tax havens named but where are US tax havens? Is there anot…	London, UK and Zurich, CH	15:54:58 04/04/2016
_changmayu	RT @Carina3603: ⚡️ ข่าวฉาวใหญ่ทั่วโลกประจำวันนี้คงหนีไม่พ้นเอกสารปานามา #PanamaPapers ซึ่งแฉรายชื่อการฟอกเงินครั้งใหญ่ของโลก https://t.co/4…	ติ่งกี่วงก็ได้โตแล้ว	15:55:04 04/04/2016
valentinaII	RT @ubrmar: Es-cán-dalo es un escándalo 🎤🎵 💃🏻  #panamapapers	Sonora, Mexico	15:56:37 04/04/2016
mcastriotta	Not shocked by this massive scale of tax evasion &amp; God bless whistleblowers &amp; investigative reporters #PanamaLeaks  https://t.co/jF3sqHCZcR	New Jersey, USA	15:58:42 04/04/2016
vitomartin	No era TT #PanamaPapers ? Se puede pagar para borrarlo? ;-)	www.PuertoParanaEscobar.tk	15:59:24 04/04/2016
Ginia_8	#panamapapers periodismo argentino me imagino si estuviera Cristina en la lista como seria la noticia  #platasucia	entre el cielo y la tierra	15:58:13 04/04/2016
JITENPUGALIYA	RT @VishnuArastu: तर्क-३- आदरणीय @SrBachchan जी आपको  #बोफोर्स मे #नेसनलहेराल्ड मे  अब #PanamaPapers मे घसीटा है  देशभक्ति कीमत बड़ी है जो…	None	15:59:12 04/04/2016
DEPACHECOS	RT @yolaplatica: #imperdible la participación de @DEPACHECOS y @HOJEANDOLIBROS en #VamosaPlaticar de @1070noticias #panamapapers #PanamaLea…	GUADALAJARA MEXICO	16:00:28 04/04/2016
bordonromero	RT @BarackusObama: ¿Alguno sabe si abriendo cuenta en Panamá tenés descuento los martes en Coto? Gracias.	Santiago del Estero, Argentina	15:31:25 04/04/2016
LeilaJung	RT @magdalakoff: "Evasion fiscale dans le monde :  un tiers du PIB mondial dissimulé." (Indonésie) #PanamaLeaks https://t.co/S1XCyR26Rh	#JLM2017	15:31:46 04/04/2016
QuiteroMoroz	Del Moro cruzó a Majul por su cobertura de los Panamá Papers https://t.co/aXhUMARebD	None	15:32:09 04/04/2016
KenyonWallace	RT @MarcoOved: The #PanamaPapers investigation was designed to be read on #startouch. Check out this beautiful original art: https://t.co/9…	kwallace@thestar.ca	15:32:28 04/04/2016
matisovich	RT @CollRoosevelt: #panamapapers Continuons à stigmatiser les #chômeurs ! Ne mettons pas un sous pour le #climat ! #SauvonsLesRiches ! http…	Brussels	15:33:07 04/04/2016
peashen	RT @OwenJones84: Everyone's response to this is WELL DUH! Amusing but I worry we've ended up resigned about it rather than determined to st…	None	15:33:19 04/04/2016
MJFdz	Hacienda investiga ya a los españoles incluidos en los «papeles de Panamá». https://t.co/O4PYBuZXMV	None	15:31:36 04/04/2016
sigueamessi	El Rey Juan Carlos, Cristina Kirchner., Peña Nieto: implicados en Papeles de Panamá  https://t.co/JbPEgl9eOq https://t.co/Uh4RFveF96	None	15:32:22 04/04/2016
fr_akim	RT @Bassounov: Jean-François #Copé est très choqué par #PanamaPapers, il connaît personnellement beaucoup de gens impliqués.	None	15:32:34 04/04/2016
afuaaaaa_	RT @Selasi_boi: Panama Panama Panama	Ghana.	15:32:58 04/04/2016
renmiu	RT @MailOnline: FIFA rocked again as ethics judge is named in the 'Panama Papers' #PanamaLeaks https://t.co/T3yG6gfGHS https://t.co/idGPAOD…	Anywhere	15:32:52 04/04/2016
Escualidodosmil	RT @ElNacionalWeb: Venezuela tiene 241.000 menciones en la masiva filtración de Panamá Papers https://t.co/gU7mvKjvX9 https://t.co/kZxDYhT7…	Caracas Venezuela 	15:33:53 04/04/2016
jrojomartin	RT @suigenerisjen: Could not agree more: "The deeper scandal is what's legal, not what's not." #panamapapers  https://t.co/0OaWpW7NH2	London	15:33:49 04/04/2016
Moni18MR	RT @_jgomez: Esto dijo el "impoluto" Ricardo Salinas Pliego hace dos meses en @ElFinanciero_Mx.   Papeles de Panamá https://t.co/WWSoXh1UV3	None	15:34:13 04/04/2016
RealYourEnemy	Liked on YouTube: Panama Papers! Politiker, Sportler und Mafiosi jetzt dran? https://t.co/c73OExtYSS	YouTunity :3	17:11:06 04/04/2016
Vreneni	RT @el_viejopaulino: "Los papeles de Panamá no afectan a México, pues aquí nos limpiamos con Charmin"  —Andrea Legarreta.	None	17:11:27 04/04/2016
NeoResistant	RT @infos140: 🔴 PANAMA PAPERS Voici les principaux chefs d’États ou de gouvernements cités, pour l’instant (avec @visactu) https://t.co/ol8…	Saint Nazaire 44600	17:12:42 04/04/2016
MercedeMer	RT @edua_2016: #PapelesPanama  Tributaristas afirman q #Macri no tenía obligación de declarar su participac https://t.co/40ShlBrW0r https:/…	None	17:13:18 04/04/2016
RMontoy	RT @dw_espanol: Dicen que los Papeles de Panamá iluminan “el lado oscuro del fútbol”. https://t.co/efkkqC0WMh #panamapapers https://t.co/6c…	En algun lugar de la Mancha	17:13:33 04/04/2016
hellofrancois	@CROIXDEEUX33 @MetairieJacques ahahaha. Allez vivre au Panama, et ne revenez pas vous faire soigner gratuitement, on ne vous regrettera pas.	None	17:13:40 04/04/2016
Arocha49	RT @Diegoherdg: En México el principal salpicado por el caso #panamapapers es @EPN, el descaro en un máxima expresión #Asquito https://t.co…	Mexico	17:11:36 04/04/2016
bykerbill	RT @obaa_boni: I am so numb. Panama papers is just a reminder, that we've organized a world where millions are exploited and suffer as a fe…	Newcastle upon Tyne	17:11:58 04/04/2016
Ateneadigitall	RT @elcitizen: Las investigaciones periodísticas los "papeles de Panamá " son serias .Cuidado con los monta "ollas"que no quieren quedarse…	Venezuela	17:12:18 04/04/2016
D_r_D_o	RT @wikileaks: Here are the famous politicians in ‘the Wikileaks of the mega-rich’ #PanamaPapers https://t.co/Ll2wyPj9KC https://t.co/ksNfr…	None	17:12:36 04/04/2016
curley543	RT @JamesMelville: Claw the £120 billion back from tax avoidance/evasion &amp; the UK deficit would be wiped out. #TaxHaven #PanamaPapers https…	Telford	17:12:31 04/04/2016
mardanone	RT BBC_WHYS: We're talking to robertnpalmer b_obermayer and financial experts about #PanamaPapers 📻https://t.co/hP… https://t.co/SZMT5O0WKQ	Mardan, Pakistan	17:13:09 04/04/2016
AlejaRodC	RT @juanpaullier: Panamá Papers: 6 formas en las que los ricos y poderosos esconden riquezas y evaden impuestos https://t.co/Cy6MuZYYhP	Bogotá, Colombia	17:13:05 04/04/2016
VdbRenard	RT @rominou75: Je trouve la classe politique pourtant si prompte à l'ouvrir sur tout et n'importe quoi très très trèèèèès silencieuse ! #Pa…	None	17:13:06 04/04/2016
marinasan011	RT @federicohoppe14: #panamapapers Escándalo mundial de corrupción salpica a Macri, ''No Se Puede Tapar El Sol Con Un DeDo'' https://t.co/E…	None	16:17:21 04/04/2016
I_Wa871	RT @pannikawanich: Panama Papers เอกสารลับที่เปิดโปงการเลี่ยงภาษี-ฟอกเงินของนักการเมือง-เศรษฐีทั่วโลก ปรากฏรายชื่อคนไทยด้วยจำนวนมาก https:/…	None	16:18:20 04/04/2016
Rudy_Valinka	New Cuban migrant bottleneck hits Panama during U.S. détente https://t.co/ZRqJaG8fiL	Jakarta Capital Region	21:19:56 23/03/2016
Ms_Terree	@g28_a @nayami_rescue @mori3125 @withwish_taka @shyoshid @MktgSciences Greetings to Panama City, #Panama! https://t.co/DJ8ZDhO3vW	LA/OC/SD to NYC/BK	14:35:34 23/03/2016
NoeRogani	Zahir me dijo q era de panamá quede re ké, ll peor es que me dicen panama ynpienso en parana sorry	Argentina	02:00:58 23/03/2016
9475b5b818974e7	RT @MissSassyBellle: what's better than a spur of the moment trip to Panama?! now only to get through the shower.  #beachin	United States	02:19:41 23/03/2016
ambriyonce	RT @DJJukeboxlive: When The Girls Send U The Room Number In Panama #PCB2k16 https://t.co/PBp9jI3GQq	emotionally unavailable 	02:25:24 23/03/2016
HenryCVillac	Panamá anunciará el miércoles fecha de inauguración del nuevo Canal https://t.co/DM9EJzsBuZ	None	03:08:14 23/03/2016
AlexisC7PA	RT @milagritoslaxin: @VIPC7PA .y si no estaría @AlexisC7PA ..en el Dual...No seria nada....💖..#thebestinpanama...el más guapo de todos los …	Panama, Bella Vista	02:28:44 23/03/2016
RafaRebelde200	Panamá anunciará el miércoles fecha de inauguración del nuevo Canal https://t.co/dKELiZnUcz	Zulia, Venezuela	02:28:49 23/03/2016
Kamila_MADURA	#OperacionSucre   Este miércoles se anunciará la fecha de inauguración del nuevo Canal de Panamá https://t.co/T3sWz63mC6 #ConMaduroMeResteo	None	02:40:06 23/03/2016
jobpanama	VENDEDOR RUTERO CON LICENCIA TIPO F, Panamá - https://t.co/QYLGs2wqQJ	Panama	05:15:18 23/03/2016
friendlife4	RT @Yo_Feliciaa: Panama in June I think yes 💕	None	05:15:03 23/03/2016
chrisnews88	Health. Birth Defects Tied to Zika in Panama	Wasilla, Alaska	05:47:15 23/03/2016
Juanchitho	RT @karenfolk28: @belindapop @tucaramsuenatvn de seguro Mañana será.un Gran Día!'gracias por tu buena vibra #BeliFans :-) :-) #Panamá #Rock…	En mi casa 	06:06:55 23/03/2016
kristy_Harmoniz	Dinah, Can you follow me? I love you so much! You are my inspiration every day. Come to Panama Soon! @dinahjane97 ❤X100	Panamá	06:42:55 23/03/2016
WayneShihTW	RT @nytimesworld: Birth Defects Tied to Zika in Panama https://t.co/u3Glu7Xzio https://t.co/8LCsYfbYcr	AKL NZ // TPE TW	06:48:39 23/03/2016
siacap	Retweeted Presidencia  Panamá (@PresidenciaPma):  Por una educación integral, se inició el proyecto #Horizontes,... https://t.co/HnCtnoA3T3	Panamá 	03:57:37 23/03/2016
andreapara21	Este miércoles se anunciará la fecha de inauguración del nuevo Canal de #Panama https://t.co/RDNOCLjlIA Vía correoorinoco	None	04:11:23 23/03/2016
kalyanisondur	RT @shamini_sharmi: Holy Spirit Orchid-The National Flower of Panama.  Look at d center of d flower you see what appears to be a dove. http…	Pune	04:08:35 23/03/2016
joaquinbala_	Buque escuela de México cruzará el Canal de Panamá para emprender una travesía https://t.co/nkRBI0Mvil	None	00:24:07 23/03/2016
gante1974	RT @TReporta: Tranque en el Corredor Norte por accidente de un camión, pide usar vías alternas https://t.co/csQZ500WPa #Panamá https://t.co…	darien	22:58:32 22/03/2016
juandsierraa1	Devastan humedal más grande de Panama https://t.co/X0ZpLKaaTY	None	00:28:04 23/03/2016
Publiventapty	#panamacity #night #kevintkenny https://t.co/vn5mlDTpkt	Panamá	23:58:34 22/03/2016
cruzculture	"Birth Defects Tied to Zika in Panama" by SABRINA TAVERNISE via NYT The New York Times https://t.co/ngkeGeSG0W	Santa Cruz, CA	00:32:43 23/03/2016
PadresLatinosUS	RT @SafaricksZoo: Instituto Académico de Panamá Visita Safarick’s Zoologico #Panama #Educacion https://t.co/OfBNfm5HG3 https://t.co/fm8zbXD…	None	02:54:25 23/03/2016
avancemos_ahora	Panamá visita a un Haití que le urge ganar: Es la primera vez que estas selecciones chocan en una eliminatoria... https://t.co/LYKGFeVPCo	None	19:28:39 24/03/2016
mylifeglobe	nomadicchick: My Favorite Sunsets in Panama https://t.co/rruboegwVB , https://t.co/qhRd7U4WTy	San Francisco, CA	19:38:22 24/03/2016
PanamaRealtor_	Megalodon Shark Nursery Found in Panama | https://t.co/8pea9QfI9T https://t.co/ZDL1AqQKU1	Panama	16:29:06 24/03/2016
jalynn___	RT @samorie_: @jalynn___ u really said "so Panama City beach isn't in the Panama Canal?"	None	18:29:58 24/03/2016
Fatyvanela	RT @SamsungPTY: ¡Votemos por @DanielC7pa para que este #RetoA se lo lleve #Panamá Aquí!&gt;&gt;&gt; https://t.co/nmLghLjd9b	Panamá	18:36:04 24/03/2016
rjlorenzo77	#21deabril #Granestreno de hastapeli @hastafilm en #Panama #Pty #aquinosetiralatoalla… https://t.co/4B1UnalByD	Caracas, Venezuela.	19:43:32 24/03/2016
sportparadise	Panama Flat Screen TV Unit 2 Door 1 Shelf Natural Oak Wax Pine P and N Homewares:  £65.99End Da... https://t.co/4MByGDxSdm #unitedkingdom	Redemption	18:40:24 24/03/2016
twpanama	Cuentas q + crecieron ayer en #Panamá 4ta @tvnpanama (+301) + info en https://t.co/25ZVWhNMIr https://t.co/MpJsLGjuAZ	Panama	20:00:32 24/03/2016
capitankarim89	In #panama with #panamahat #sailor #sea #seaman #sealife https://t.co/zi1RZKKvoy	None	05:50:55 25/03/2016
tonimichelotti	RT @GettingStamped: Damn Panama, you surprised me… https://t.co/N4rg4EWpXB #travel #panama #bocasdeltoro #sanblasislands	Verona	06:13:46 25/03/2016
chubitak	RT @LaEsenciaDeSanz: 3 de Mayo #PANAMÁ  #GiraSirope @AlejandroSanz @Rlm_es @UMUSICA   @magicdreamsinc @ByMariam https://t.co/4nb23Na0Ry	None	06:12:34 25/03/2016
PUNTA_PACIFICA	PANAMA REAL ESTATE ALQUILO APARTAMENTO EN ALTAMIRA GARDENS DE 3 RECAMARAS # CR12  House Hunters Panama	Panama City, Panama	17:32:12 25/03/2016
_CrystelO_	RT @Charley_Ame300: @_CrystelO_ #FreaknikPCB TONIGHT #PCB2016 #springbreakpcb #PCB #PCB2k16  @ Club Night Life (320 W. 14th Panama City Bea…	United States	20:39:32 25/03/2016
Bombburgerpty	@adbi0206_angel Gracias por seguirnos, PROXIMA APERTURA EL CARMEN!   #Panama #PTY	El Carmen, vía Grecia calle 61	20:56:13 25/03/2016
MarketingD5Line	#MarketingDigital - MarketingD5Line #MarketingDigital - MrktingDigital Marketing multilocal en Panamá https://t.co/rpch2qTQHI #MarketingDi…	Zaragoza, Aragón	06:13:16 26/03/2016
ClimaPanama	(01:30am) Temperatura: 24°C | Humedad: 83% | Parcialmente nublado | #Tiempo #Clima #Panama #PTY	Ciudad de Panamá	06:30:02 26/03/2016
metropan222	RT @AmerikaSesi: BİR PARALEL HİKAYE  PANAMA DİKTATÖRÜ MANUAL NORIEGA  HARAÇ, KARAPARA, UYUSTURUCU, SİLAH, MİLYARDERİ  👉SEYRET,PAYLAŞ👈 https…	None	11:18:39 26/03/2016
Maquiandes	Audiencia con Panamá en la OMC está programada para abril https://t.co/RlYPfwsC6T	Avenida Carrera 9 No. 100 - 07	13:13:52 26/03/2016
HotelCrow	Need THE best #hotel while staying in #PanamaCity? Roma Plaza Hotel Panama City is your choice!	Hotels around the world	11:46:12 26/03/2016
Ra30Jesus	@nievesale1 y q vivía en Panamá chorrera eres una mentirosa perra zorra	None	17:58:25 25/03/2016
perroyranalibro	#ESCUCHA “Panamá”| “El gallero” de Rafael A. Fernández https://t.co/MbzJQDusCw #LEE https://t.co/1hHEAqEQay	Venezuela	18:00:41 25/03/2016
aulaclicks	Corel Draw Graphic Suite X5 https://t.co/25p0esCwbS #CursoOnline #Capacitacion #Panama #Venezuela #followback #Desing #diseño	None	15:55:37 25/03/2016
GustavoEduardoR	Hoy es el turno de #Panamá, tiene ante #Haití la posibilidad de dar un paso importante hacia el hexagonal.	Panamá	16:01:13 25/03/2016
masivaecologica	#ecotips utiliza productos que no contienen sustancias contaminantes para el agua,suelo o aire. #ecologia #productos #panama	Latinoamerica	22:30:26 25/03/2016
BrinAgnesY	RT @SangrePanama: Conoce los requisitos para Donar Sangre Voluntariamente en #Panamá #VidaTips https://t.co/nNZQzUdzcf	None	22:55:31 25/03/2016
SITELEmpleos	RT @VAMOSPANAMAA: A Ganar! Vamos PANAMÁ ♥!! https://t.co/RTPkDc9rIa	República de Panamá	23:14:59 25/03/2016
friendlife4	RT @RABV77: Así sale #Panamá 🇵🇦 ante Haití 🇭🇹. #VamosPanamá https://t.co/W6XfVdAntN	None	23:16:42 25/03/2016
FuloCardenas	2-1 a favor de Panamá  https://t.co/IYppoogYGT	None	23:12:10 25/03/2016
MrAviator1906	My sister boyfriend told her not to get her nails done because they go kidnap here when she goes to Panama for being too flashy	al-Andalus 	23:03:12 25/03/2016
Elprof20	RT @JMDeporte: Así sale Panamá ante Haití @MiDiarioPanama @JhonyMosquera #JMDeportesSele https://t.co/RbNWcmFVuk	Panamá	23:06:26 25/03/2016
PanamaAmerica	#DeportesPA Muy acertado Penedo hasta ahora. Minuto 56: Haití 0-0 Panamá #EliminatoriasRusia2018	Panamá	01:13:27 26/03/2016
JVBandCo	My baby missed her mama while she was in Panama. Loves her cuddles https://t.co/63C7kLXia3	St. John's, Newfoundland and Labrador	01:24:02 26/03/2016
ClasiffLARA	.@CargoBoxPV Casillero Gratis..!! #USA #Panama #Venezuela ,Varios metodos de pago para tus envios!! #PuertaaPuerta https://t.co/mc1sERyfFR	Barquisimeto	01:32:14 26/03/2016
orland_vega	Just posted a photo @ Panama City, Panama https://t.co/kRQC4D5Um3	pty	01:40:52 26/03/2016
KDKathyd	RT @rpctvpanama: ¡Terminoooooooo! Panamá no puede sacar la victoria en Puerto Príncipe. Haití 0 - 0 Panamá. #VamosPanama https://t.co/IZD6B…	None	01:50:49 26/03/2016
FUTBOL_PA	@herrerano21 COSTA RICA PRIMERO, PANAMÁ Y JAMAICA CON IGUAL PUNTOS, PERO PANAMÁ SEGUNDO Y JAMAICA TERCERO, HAITÍ ULTIMO.	Panama	03:03:49 26/03/2016
litok9	@valeriiaM20 @Traficologo  @Jardeniz la unica forma de q panama vaya a un mundial es q el pais sea la sede 😆 xao rusia 😢vamos qatar 2022😀	None	03:17:53 26/03/2016
CristianXxx507	RT @sexyhotpanama: https://t.co/1F8q9fG1rQ recomienda: Natalia 6340-8318 #Dominicana #PrepagosPanama https://t.co/ybLquPtNbe https://t.co/A…	None	03:14:31 26/03/2016
OlgaaMariaRojas	RT @rjlc85: @BcoBicentenario estoy en la ciudad de Panamá ya tengo 9 dias y no he podido hacer uso de ls dolares viajeros No tengo donde do…	None	03:02:40 26/03/2016
jlarios1965	@DeportesNTN24 desde Panamá como todos las noches, la fecha fue favorable para Colombia, hay que ganar a Ecuador	None	03:03:19 26/03/2016
Juan68649547	RT @VinicioSenador: En Panamá la Procuraduria mandó a auditar todas las obras de odebrech.Y Aquí , ni para aguajear se atreven .Estan cogio…	Dominican Republic	03:23:51 26/03/2016
cjaguirre04	@duroalhueso @elmarcadortv Creo que Panamá cayó en el juego de Haití. No se vio trabajo. No vi manejo de nada	Panamá	03:20:43 26/03/2016
LGonnzalez	🎵 YeAh thEy weRe All YelloW 🎵 @ Avenida Balboa, Panama City https://t.co/0NGZxfYyEj	Panamá	03:22:28 26/03/2016
Jhosne_09	#VamosPanama ❤Panama💘, Aguante @ElBolillo_Soy  Fuerza @MiseleccionPA  #RoadRusia2018 😆💪🙌😬😬 https://t.co/0YVdDMARR6	None	23:35:53 25/03/2016
IncidentesDavid	RT @DiaaDiaPa: #AficiónPA Partido enredado, sin jugadas de peligro. Minuto 6: Haití 0-0 Panamá #EliminatoriasRusia2018	Panamá	00:07:55 26/03/2016
ahmettiris	RT @aydogan29: Panama diktatörü CIA ile birlikte çalışırdı. Kara para, uyuşturucu her türlü iş vardı adamda. 1992'de ABD'de kodese attılar.	PARİS	00:05:59 26/03/2016
chelseasheva	RT @2010MisterChip: HAI 0-0 PAN (1') - Haití sólo le ha ganado a Panamá UNA VEZ en sus últimos NUEVE enfrentamientos (3-0 en Miami en amist…	Panamá	00:23:22 26/03/2016
VecinasPanama	🔥😈 #VecinasPanama #Panama #Mexico #Colombia #Post #Mujeres #Latinas #Sexy #Ardiente #World #Sexo  😈🔥 https://t.co/DrNvw1xoDQ	Ciudad de Panamá	00:26:02 26/03/2016
caribbeanfooty	22' Roberto Nurse with a fantastic chance to head Panama in front against Haiti, but he heads in to the ground and over from 6 yards, 0-0	Chicago	00:24:45 26/03/2016
azael181818	Con tabaco y aguardiante la ceremonia ya va a empezar. #PanamaVsHaiti	NYC, Manhattan	23:44:18 25/03/2016
Said1David	#VamosPanama !!! Mi otra Seleccion  #RumboAlMundial  Vamos @JaimePenedo26 :)	Panamá y Colombia	23:46:22 25/03/2016
dv_tony	@SomosLaSele, @tvmax, Todos con La Roja,  VAMOS PANAMÁ. https://t.co/nE1C0xUVwO	None	23:46:56 25/03/2016
lopez091209	RT @la_cascara: Todos los que apoyan a Panamá tienen que tener al Squirtle de la Sele https://t.co/wcMnMOD6se	None	00:27:59 26/03/2016
MasMovilPanama	30' Y el marcador sigue 0 - 0 #HAIPAN #VamosPanama ⚽	Panamá	00:31:35 26/03/2016
samer__c	RT @DJJukeboxlive: When The Girls Send U The Room Number In Panama #PCB2k16 https://t.co/PBp9jI3GQq	Oswego, NY	19:17:53 25/03/2016
EP_Mundo	Reiteran que Barría está vinculado en cobro de coimas y en caso de SPI https://t.co/i6LkE3bXYF #noticiaspanama https://t.co/zJXCoYN4Io	None	19:26:19 25/03/2016
AArson65	RT @tuncayopcin: Panama diktatörü, işlediği mali suçlardan dolayı, ülkesinde derdest edildi ve hapse atıldı. ABD yakaladı, ceza Verdi.	None	20:00:02 25/03/2016
